ID,group,task,week,learnTime,time,item,acc,RT
AmPm0cde,GC,PNN,2,PM,1,agouti,0,NA
AmPm0cde,GC,PNN,1,AM,1,banyan,1,2422.2
AmPm0cde,GC,PNN,1,AM,1,baobab,0,NA
AmPm0cde,GC,PNN,2,PM,1,blenny,0,NA
AmPm0cde,GC,PNN,1,AM,1,caracal,1,1825.4
AmPm0cde,GC,PNN,1,AM,1,deglupta,0,NA
AmPm0cde,GC,PNN,2,PM,1,dingo,0,NA
AmPm0cde,GC,PNN,2,PM,1,dorado,0,NA
AmPm0cde,GC,PNN,1,AM,1,drongo,0,NA
AmPm0cde,GC,PNN,1,AM,1,galah,0,NA
AmPm0cde,GC,PNN,1,AM,1,gelada,0,NA
AmPm0cde,GC,PNN,1,AM,1,hoopoe,1,1771
AmPm0cde,GC,PNN,2,PM,1,komondor,1,2178.6
AmPm0cde,GC,PNN,1,AM,1,lesula,0,NA
AmPm0cde,GC,PNN,2,PM,1,lycaon,0,NA
AmPm0cde,GC,PNN,1,AM,1,mandrill,1,1133.8
AmPm0cde,GC,PNN,2,PM,1,marmot,1,2648.5
AmPm0cde,GC,PNN,1,AM,1,oncilla,0,NA
AmPm0cde,GC,PNN,2,PM,1,oranda,0,NA
AmPm0cde,GC,PNN,2,PM,1,protea,0,NA
AmPm0cde,GC,PNN,1,AM,1,serval,1,2875.3
AmPm0cde,GC,PNN,2,PM,1,trillium,0,NA
AmPm0cde,GC,PNN,2,PM,1,woylie,0,NA
AmPm0cde,GC,PNN,2,PM,1,zinnia,0,NA
AmPm0cde,GC,PNT,2,PM,1,agouti,1,2166.7
AmPm0cde,GC,PNT,1,AM,1,banyan,1,1502.3
AmPm0cde,GC,PNT,1,AM,1,baobab,1,863.1
AmPm0cde,GC,PNT,2,PM,1,blenny,0,NA
AmPm0cde,GC,PNT,1,AM,1,caracal,1,873.3
AmPm0cde,GC,PNT,1,AM,1,deglupta,0,NA
AmPm0cde,GC,PNT,2,PM,1,dingo,0,NA
AmPm0cde,GC,PNT,2,PM,1,dorado,0,NA
AmPm0cde,GC,PNT,1,AM,1,drongo,0,NA
AmPm0cde,GC,PNT,1,AM,1,galah,0,NA
AmPm0cde,GC,PNT,1,AM,1,gelada,0,NA
AmPm0cde,GC,PNT,1,AM,1,hoopoe,1,1541.7
AmPm0cde,GC,PNT,2,PM,1,komondor,1,1860.5
AmPm0cde,GC,PNT,1,AM,1,lesula,0,NA
AmPm0cde,GC,PNT,2,PM,1,lycaon,0,NA
AmPm0cde,GC,PNT,1,AM,1,mandrill,1,733.3
AmPm0cde,GC,PNT,2,PM,1,marmot,1,2636.1
AmPm0cde,GC,PNT,1,AM,1,oncilla,0,NA
AmPm0cde,GC,PNT,2,PM,1,oranda,0,NA
AmPm0cde,GC,PNT,2,PM,1,protea,0,NA
AmPm0cde,GC,PNT,1,AM,1,serval,0,NA
AmPm0cde,GC,PNT,2,PM,1,trillium,0,NA
AmPm0cde,GC,PNT,2,PM,1,woylie,0,NA
AmPm0cde,GC,PNT,2,PM,1,zinnia,0,NA
AmPm0cde,GC,PNT,2,PM,3,blenny,0,NA
AmPm0cde,GC,PNT,1,AM,3,caracal,1,1036.3
AmPm0cde,GC,PNT,1,AM,3,deglupta,0,NA
AmPm0cde,GC,PNT,2,PM,3,dingo,0,NA
AmPm0cde,GC,PNT,2,PM,3,dorado,0,NA
AmPm0cde,GC,PNT,1,AM,3,drongo,0,NA
AmPm0cde,GC,PNT,1,AM,3,galah,0,NA
AmPm0cde,GC,PNT,1,AM,3,gelada,0,NA
AmPm0cde,GC,PNT,1,AM,3,hoopoe,1,929
AmPm0cde,GC,PNT,2,PM,3,komondor,1,873
AmPm0cde,GC,PNT,1,AM,3,lesula,0,NA
AmPm0cde,GC,PNT,2,PM,3,lycaon,0,NA
AmPm0cde,GC,PNT,1,AM,3,mandrill,1,1207.1
AmPm0cde,GC,PNT,2,PM,3,marmot,1,884.4
AmPm0cde,GC,PNT,1,AM,3,oncilla,0,NA
AmPm0cde,GC,PNT,2,PM,3,oranda,0,NA
AmPm0cde,GC,PNT,2,PM,3,protea,0,NA
AmPm0cde,GC,PNT,1,AM,3,serval,1,2785.4
AmPm0cde,GC,PNT,2,PM,3,trillium,0,NA
AmPm0cde,GC,PNT,2,PM,3,woylie,0,NA
AmPm0cde,GC,PNT,2,PM,3,zinnia,0,NA
AmPm0cde,GC,PNN,1,AM,2,galah,0,NA
AmPm0cde,GC,PNN,1,AM,2,gelada,0,NA
AmPm0cde,GC,PNN,1,AM,2,hoopoe,1,1197.3
AmPm0cde,GC,PNN,2,PM,2,komondor,1,1117.9
AmPm0cde,GC,PNN,1,AM,2,lesula,0,NA
AmPm0cde,GC,PNN,2,PM,2,lycaon,0,NA
AmPm0cde,GC,PNN,1,AM,2,mandrill,1,967.3
AmPm0cde,GC,PNN,2,PM,2,marmot,1,1792.8
AmPm0cde,GC,PNN,1,AM,2,oncilla,0,NA
AmPm0cde,GC,PNN,2,PM,2,oranda,0,NA
AmPm0cde,GC,PNN,2,PM,2,protea,0,NA
AmPm0cde,GC,PNN,1,AM,2,serval,0,NA
AmPm0cde,GC,PNN,2,PM,2,trillium,0,NA
AmPm0cde,GC,PNN,2,PM,2,woylie,0,NA
AmPm0cde,GC,PNN,2,PM,2,zinnia,0,NA
AmPm0cde,GC,PNT,2,PM,2,agouti,1,878
AmPm0cde,GC,PNT,1,AM,2,banyan,1,1167.8
AmPm0cde,GC,PNT,1,AM,2,baobab,0,NA
AmPm0cde,GC,PNT,2,PM,2,blenny,1,1119.9
AmPm0cde,GC,PNT,1,AM,2,caracal,1,1199.8
AmPm0cde,GC,PNT,1,AM,2,deglupta,0,NA
AmPm0cde,GC,PNT,2,PM,2,dingo,0,NA
AmPm0cde,GC,PNT,2,PM,2,dorado,0,NA
AmPm0cde,GC,PNT,1,AM,2,drongo,0,NA
AmPm0cde,GC,PNT,1,AM,2,galah,0,NA
AmPm0cde,GC,PNT,1,AM,2,gelada,0,NA
AmPm0cde,GC,PNT,1,AM,2,hoopoe,1,1097.5
AmPm0cde,GC,PNT,2,PM,2,komondor,1,990.9
AmPm0cde,GC,PNT,1,AM,2,lesula,0,NA
AmPm0cde,GC,PNT,2,PM,2,lycaon,0,NA
AmPm0cde,GC,PNT,1,AM,2,mandrill,1,871.6
AmPm0cde,GC,PNT,2,PM,2,marmot,1,1513.6
AmPm0cde,GC,PNT,1,AM,2,oncilla,0,NA
AmPm0cde,GC,PNT,2,PM,2,oranda,0,NA
AmPm0cde,GC,PNT,2,PM,2,protea,0,NA
AmPm0cde,GC,PNT,1,AM,2,serval,0,NA
AmPm0cde,GC,PNT,2,PM,2,trillium,0,NA
AmPm0cde,GC,PNT,2,PM,2,woylie,0,NA
AmPm0cde,GC,PNT,2,PM,2,zinnia,0,NA
AmPm0cde,GC,PNN,1,AM,3,caracal,1,858.8
AmPm0cde,GC,PNN,1,AM,3,deglupta,0,NA
AmPm0cde,GC,PNN,2,PM,3,dingo,0,NA
AmPm0cde,GC,PNN,2,PM,3,dorado,0,NA
AmPm0cde,GC,PNN,1,AM,3,drongo,0,NA
AmPm0cde,GC,PNN,1,AM,3,galah,0,NA
AmPm0cde,GC,PNN,1,AM,3,gelada,0,NA
AmPm0cde,GC,PNN,1,AM,3,hoopoe,1,2051.4
AmPm0cde,GC,PNN,2,PM,3,komondor,1,934.2
AmPm0cde,GC,PNN,1,AM,3,lesula,0,NA
AmPm0cde,GC,PNN,2,PM,3,lycaon,0,NA
AmPm0cde,GC,PNN,1,AM,3,mandrill,1,1195
AmPm0cde,GC,PNN,2,PM,3,marmot,1,2603.2
AmPm0cde,GC,PNN,1,AM,3,oncilla,0,NA
AmPm0cde,GC,PNN,2,PM,3,oranda,0,NA
AmPm0cde,GC,PNN,2,PM,3,protea,0,NA
AmPm0cde,GC,PNN,1,AM,3,serval,0,NA
AmPm0cde,GC,PNN,2,PM,3,trillium,0,NA
AmPm0cde,GC,PNN,2,PM,3,woylie,0,NA
AmPm0cde,GC,PNN,2,PM,3,zinnia,0,NA
AmPm0cde,GC,PNT,2,PM,3,agouti,1,888.6
AmPm0cde,GC,PNT,1,AM,3,banyan,1,943.9
AmPm0cde,GC,PNT,1,AM,3,baobab,0,NA
AmPm0cde,GC,PNN,2,PM,3,agouti,1,1942.7
AmPm0cde,GC,PNN,1,AM,3,banyan,1,1494
AmPm0cde,GC,PNN,1,AM,3,baobab,0,NA
AmPm0cde,GC,PNN,2,PM,3,blenny,0,NA
AmPm0cde,GC,PNN,2,PM,2,dorado,0,NA
AmPm0cde,GC,PNN,1,AM,2,drongo,0,NA
AmPm0cde,GC,PNN,2,PM,2,agouti,0,NA
AmPm0cde,GC,PNN,1,AM,2,banyan,1,1151.9
AmPm0cde,GC,PNN,1,AM,2,baobab,0,NA
AmPm0cde,GC,PNN,2,PM,2,dingo,0,NA
AmPm0cde,GC,PNN,2,PM,2,blenny,1,1291.4
AmPm0cde,GC,PNN,1,AM,2,caracal,1,1033.2
AmPm0cde,GC,PNN,1,AM,2,deglupta,0,NA
AmPm5cd0,GC,PNT,1,AM,2,drongo,0,NA
AmPm5cd0,GC,PNT,1,AM,2,deglupta,0,NA
AmPm5cd0,GC,PNT,2,PM,2,dingo,0,NA
AmPm5cd0,GC,PNT,2,PM,2,dorado,0,NA
AmPm5cd0,GC,PNN,2,PM,2,zinnia,0,NA
AmPm5cd0,GC,PNT,1,AM,2,caracal,0,NA
AmPm5cd0,GC,PNT,1,AM,3,oncilla,1,1780.3
AmPm5cd0,GC,PNT,2,PM,3,oranda,1,NA
AmPm5cd0,GC,PNT,2,PM,3,protea,0,NA
AmPm5cd0,GC,PNT,1,AM,3,serval,0,NA
AmPm5cd0,GC,PNT,2,PM,3,trillium,1,1290.2
AmPm5cd0,GC,PNT,2,PM,3,woylie,0,NA
AmPm5cd0,GC,PNT,2,PM,3,zinnia,0,NA
AmPm5cd0,GC,PNN,1,AM,2,galah,0,NA
AmPm5cd0,GC,PNT,2,PM,2,agouti,0,NA
AmPm5cd0,GC,PNT,1,AM,2,banyan,0,NA
AmPm5cd0,GC,PNT,1,AM,2,baobab,0,NA
AmPm5cd0,GC,PNT,2,PM,2,blenny,1,973.4
AmPm5cd0,GC,PNN,2,PM,2,lycaon,0,NA
AmPm5cd0,GC,PNN,1,AM,2,mandrill,1,4420.1
AmPm5cd0,GC,PNN,2,PM,2,marmot,0,NA
AmPm5cd0,GC,PNN,1,AM,2,oncilla,0,NA
AmPm5cd0,GC,PNN,2,PM,2,oranda,1,1892
AmPm5cd0,GC,PNN,2,PM,2,protea,0,NA
AmPm5cd0,GC,PNN,1,AM,2,serval,0,NA
AmPm5cd0,GC,PNN,2,PM,2,trillium,1,1297.6
AmPm5cd0,GC,PNN,2,PM,2,woylie,0,NA
AmPm5cd0,GC,PNN,1,AM,2,gelada,0,NA
AmPm5cd0,GC,PNN,1,AM,2,hoopoe,1,1742.9
AmPm5cd0,GC,PNN,2,PM,2,komondor,0,NA
AmPm5cd0,GC,PNN,1,AM,2,lesula,0,NA
AmPm5cd0,GC,PNN,1,AM,1,caracal,0,NA
AmPm5cd0,GC,PNN,1,AM,1,deglupta,0,NA
AmPm5cd0,GC,PNN,2,PM,1,dingo,0,NA
AmPm5cd0,GC,PNN,2,PM,1,dorado,0,NA
AmPm5cd0,GC,PNN,1,AM,1,drongo,0,NA
AmPm5cd0,GC,PNN,1,AM,1,galah,0,NA
AmPm5cd0,GC,PNT,1,AM,2,galah,0,NA
AmPm5cd0,GC,PNT,1,AM,2,gelada,0,NA
AmPm5cd0,GC,PNT,1,AM,2,hoopoe,1,1020.4
AmPm5cd0,GC,PNN,2,PM,1,agouti,0,NA
AmPm5cd0,GC,PNN,1,AM,1,banyan,0,NA
AmPm5cd0,GC,PNN,1,AM,1,baobab,0,NA
AmPm5cd0,GC,PNN,2,PM,1,blenny,1,2684
AmPm5cd0,GC,PNT,1,AM,3,mandrill,1,970.5
AmPm5cd0,GC,PNT,2,PM,3,marmot,0,NA
AmPm5cd0,GC,PNN,2,PM,1,trillium,1,2407.6
AmPm5cd0,GC,PNN,2,PM,1,woylie,0,NA
AmPm5cd0,GC,PNN,2,PM,1,zinnia,0,NA
AmPm5cd0,GC,PNT,2,PM,1,agouti,0,NA
AmPm5cd0,GC,PNT,1,AM,1,banyan,1,2563.5
AmPm5cd0,GC,PNT,1,AM,1,baobab,1,2544.1
AmPm5cd0,GC,PNT,2,PM,1,blenny,1,1199
AmPm5cd0,GC,PNT,1,AM,1,caracal,0,NA
AmPm5cd0,GC,PNT,1,AM,1,deglupta,0,NA
AmPm5cd0,GC,PNT,2,PM,1,dingo,0,NA
AmPm5cd0,GC,PNT,2,PM,1,dorado,0,NA
AmPm5cd0,GC,PNT,1,AM,1,drongo,0,NA
AmPm5cd0,GC,PNT,1,AM,1,galah,0,NA
AmPm5cd0,GC,PNT,1,AM,1,gelada,0,NA
AmPm5cd0,GC,PNT,1,AM,1,hoopoe,1,909.9
AmPm5cd0,GC,PNT,2,PM,1,komondor,0,NA
AmPm5cd0,GC,PNT,1,AM,1,lesula,0,NA
AmPm5cd0,GC,PNT,2,PM,1,lycaon,0,NA
AmPm5cd0,GC,PNT,1,AM,1,mandrill,1,2500
AmPm5cd0,GC,PNT,2,PM,1,marmot,0,NA
AmPm5cd0,GC,PNT,1,AM,1,oncilla,0,NA
AmPm5cd0,GC,PNT,2,PM,1,oranda,1,1700.7
AmPm5cd0,GC,PNT,2,PM,1,protea,0,NA
AmPm5cd0,GC,PNT,1,AM,1,serval,0,NA
AmPm5cd0,GC,PNT,2,PM,1,trillium,1,2037.7
AmPm5cd0,GC,PNT,2,PM,1,woylie,0,NA
AmPm5cd0,GC,PNT,2,PM,1,zinnia,0,NA
AmPm5cd0,GC,PNT,2,PM,3,blenny,1,1009.8
